epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,234.368,2.02182,1.87228,1.31128,0.24126,0.66667,0.35224,0.16109,2.19048,2.91104,1.25022,0.000486722,0.000486722,0.000486722
23,244.707,1.93288,2.14233,1.19685,0.3221,0.63578,0.34949,0.15473,2.06285,2.41486,1.20232,0.000502994,0.000502994,0.000502994
24,255.371,1.79362,1.74719,1.12501,0.3221,0.63578,0.34949,0.15473,2.06285,2.41486,1.20232,0.0005187,0.0005187,0.0005187
25,266.668,1.96575,1.7568,1.2712,0.29299,0.5,0.31972,0.12846,2.11838,2.32247,1.20825,0.00053384,0.00053384,0.00053384
26,280.675,1.83105,1.87421,1.2521,0.29299,0.5,0.31972,0.12846,2.11838,2.32247,1.20825,0.000548414,0.000548414,0.000548414
27,297.697,2.05781,1.94783,1.3727,0.29299,0.5,0.31972,0.12846,2.11838,2.32247,1.20825,0.000562423,0.000562423,0.000562423
28,309.98,1.78062,1.64662,1.22258,1,0.31749,0.46025,0.244,2.18671,1.86214,1.17676,0.000575866,0.000575866,0.000575866
29,321.534,1.84769,1.45826,1.14613,1,0.31749,0.46025,0.244,2.18671,1.86214,1.17676,0.000588742,0.000588742,0.000588742
30,332.276,1.73689,1.4021,1.21669,0.47363,0.5,0.39674,0.20103,1.90984,1.86173,1.14481,0.000601053,0.000601053,0.000601053
31,342.251,1.79312,2.03092,1.32644,0.47363,0.5,0.39674,0.20103,1.90984,1.86173,1.14481,0.000612798,0.000612798,0.000612798
32,351.265,1.79493,1.72207,1.36112,0.47363,0.5,0.39674,0.20103,1.90984,1.86173,1.14481,0.000623977,0.000623977,0.000623977
33,360.718,2.07162,2.0711,1.23439,0.74689,0.49378,0.49231,0.2215,2.07645,1.9755,1.15303,0.00063459,0.00063459,0.00063459
34,370.028,1.93049,1.83552,1.26721,0.74689,0.49378,0.49231,0.2215,2.07645,1.9755,1.15303,0.000644638,0.000644638,0.000644638
35,380.513,1.64253,1.5691,1.14152,0.74689,0.49378,0.49231,0.2215,2.07645,1.9755,1.15303,0.000654119,0.000654119,0.000654119
36,389.41,1.87276,1.83604,1.22384,0.74754,0.49507,0.45505,0.18691,2.38759,2.00417,1.20341,0.000663035,0.000663035,0.000663035
37,398.359,1.94129,1.65007,1.29983,0.74754,0.49507,0.45505,0.18691,2.38759,2.00417,1.20341,0.000671384,0.000671384,0.000671384
38,406.994,1.92218,1.4159,1.40813,0.74754,0.49507,0.45505,0.18691,2.38759,2.00417,1.20341,0.000679168,0.000679168,0.000679168
39,417.23,1.72615,1.46584,1.14859,0.96567,0.33333,0.44667,0.16584,2.67517,1.92004,1.26673,0.000686386,0.000686386,0.000686386
40,425.935,1.78496,1.42114,1.17551,0.96567,0.33333,0.44667,0.16584,2.67517,1.92004,1.26673,0.000693038,0.000693038,0.000693038
41,436.124,1.91364,1.57771,1.38291,0.96567,0.33333,0.44667,0.16584,2.67517,1.92004,1.26673,0.000699124,0.000699124,0.000699124
